,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,klaksvik,40,FO,1580226463,71,62.23,-6.59,274.15,0.5
1,fomboni,99,KM,1580226463,72,-12.28,43.74,302.12,3.78
2,telde,0,ES,1580226463,60,27.99,-15.42,296.48,2.6
3,laela,100,TZ,1580226463,92,-8.57,32.05,292.11,2.24
4,rikitea,100,PF,1580226464,80,-23.12,-134.97,299.25,4.4
5,faanui,100,PF,1580226464,76,-16.48,-151.75,301.09,4.06
6,huron,90,US,1580226464,96,41.15,-82.55,274.82,3.6
7,yeppoon,75,AU,1580226464,94,-23.13,150.73,298.15,3.1
8,tasiilaq,75,GL,1580226465,63,65.61,-37.64,270.15,3.6
9,port alfred,100,CD,1580226465,87,-7.03,29.76,296.32,9.4
10,vaini,20,TO,1580226465,94,-21.2,-175.2,296.15,0.49
11,grand river south east,1,US,1580226170,92,38.88,-109.5,270.37,2.6
12,luderitz,0,NA,1580226181,83,-26.65,15.16,291.54,9.85
13,geraldton,0,AU,1580226466,88,-28.77,114.6,295.15,5.1
14,villanueva,20,HN,1580226466,73,15.32,-88.0,298.15,4.1
15,lazaro cardenas,33,DO,1580226466,68,19.46,-71.33,300.37,0.45
16,atuona,2,PF,1580226466,81,-9.8,-139.03,299.88,6.63
17,odweyne,0,SO,1580226467,45,9.41,45.06,295.17,7.08
18,leesburg,75,US,1580226467,61,39.12,-77.56,280.37,4.1
19,rapsani,40,GR,1580226467,41,39.9,22.55,289.15,5.1
20,punta arenas,2,PH,1580226467,92,8.99,125.34,296.8,1.55
21,ribeira grande,75,ES,1580226468,100,42.75,-8.44,286.48,2.1
22,cabangahan,40,PH,1580226468,83,9.08,122.95,300.15,1.08
23,sawakin,46,SD,1580226468,77,19.11,37.33,296.8,5.78
24,belyy yar,100,RU,1580226468,88,55.84,32.94,272.52,2.14
25,ugoofaaru,100,MV,1580226468,71,5.67,73.0,300.85,4.32
26,kaeo,31,NZ,1580226469,100,-35.1,173.78,293.71,2.6
27,pauini,93,BR,1580226469,90,-7.71,-66.98,300.23,1.71
28,khatanga,63,RU,1580226469,97,71.97,102.5,249.31,3.8
29,cape town,40,CL,1580226469,54,-36.41,-71.9,299.15,5.1
30,belaya gora,78,UA,1580226469,69,49.03,25.77,279.82,1.34
31,castro,15,BR,1580226470,70,-24.79,-50.01,298.3,1.67
32,qaanaaq,96,GL,1580226470,77,77.48,-69.36,248.01,0.78
33,hermanus,1,ZA,1580226470,80,-34.42,19.23,296.48,3.58
34,albany,90,US,1580226470,92,42.6,-73.97,275.37,4.1
35,naze,75,JP,1580226470,82,28.37,129.48,288.15,9.3
36,cap malheureux,100,FR,1580226470,93,49.27,-1.21,279.82,8.2
37,yazykovo,15,RU,1580226471,97,55.22,56.14,249.99,1.51
38,nosy varika,75,PL,1580226471,93,51.99,20.8,277.59,4.1
39,chokurdakh,90,RU,1580226471,97,70.63,147.92,239.37,3.82
40,norman wells,100,US,1580226471,100,35.22,-97.44,280.15,5.7
41,arman,49,RU,1580226472,98,59.7,150.17,260.89,2.42
42,vawkavysk,100,BY,1580226472,80,53.16,24.45,277.15,3.0
43,wanaka,100,NZ,1580226472,95,-44.7,169.15,281.49,2.18
44,tiksi,100,RU,1580226472,88,71.69,128.87,242.41,2.44
45,galle,0,LK,1580226472,73,6.04,80.22,300.02,4.18
46,mar del plata,20,ES,1580226473,62,43.4,-4.01,287.59,5.7
47,camopi,85,GF,1580226473,71,3.17,-52.32,301.52,1.95
48,labuhan,93,ID,1580226473,88,-6.88,112.21,298.73,0.85
49,nikolskoye,90,RU,1580226473,93,59.7,30.79,273.15,5.0
50,ushuaia,75,AR,1580226392,81,-54.8,-68.3,283.15,15.4
51,mys shmidta,81,RU,1580226474,98,62.06,48.62,250.18,2.13
52,saskylakh,0,RU,1580226474,97,71.92,114.08,243.58,3.73
53,bluff,100,NZ,1580226474,84,-46.6,168.33,286.48,1.34
54,sao joao da barra,2,IN,1580226474,44,20.51,76.21,294.38,2.86
55,vostok,100,RU,1580226475,81,46.49,135.88,261.88,0.78
56,colquechaca,46,BO,1580226475,66,-18.67,-66.02,286.49,2.08
57,bengbu,24,CN,1580226475,75,32.94,117.36,276.21,2.49
58,barrow,75,US,1580226302,74,71.29,-156.79,241.15,1.5
59,fuzhou,90,CN,1580226476,71,26.06,119.31,284.15,2.0
60,alberton,100,CA,1580226476,66,46.82,-64.07,269.82,12.4
61,caravelas,66,BR,1580226476,84,-17.71,-39.25,300.23,5.17
62,saldanha,4,ZA,1580226281,53,-33.01,17.94,296.15,7.7
63,busselton,0,AU,1580226468,53,-33.65,115.33,292.04,4.55
64,bilma,91,NE,1580226477,5,18.69,12.92,301.83,3.0
65,dikson,49,RU,1580226477,96,73.51,80.55,248.45,5.9
66,kruisfontein,0,ZA,1580226332,50,-34.0,24.73,294.74,5.98
67,mataura,100,NZ,1580226477,84,-46.19,168.86,286.48,1.34
68,butaritari,82,KI,1580226477,81,3.07,172.79,301.56,8.17
69,bethel,90,US,1580226478,69,41.37,-73.41,278.71,2.6
70,bredasdorp,0,ZA,1580226478,50,-34.53,20.04,298.15,7.49
71,bandiagara,95,ML,1580226478,4,14.35,-3.61,307.15,7.2
72,kjollefjord,3,NO,1580226478,67,70.95,27.35,265.15,6.7
73,hilo,75,US,1580226284,60,19.73,-155.09,293.15,4.1
74,cape girardeau,40,CL,1580226479,54,-36.41,-71.9,299.15,5.1
75,longyearbyen,76,SJ,1580226479,64,78.22,15.64,256.15,4.1
76,georgetown,20,MY,1580226225,79,5.41,100.34,302.15,4.1
77,hokitika,100,NZ,1580226283,94,-42.72,170.97,290.4,0.14
78,dumai,100,ID,1580226480,97,1.68,101.45,297.21,0.84
79,taoudenni,82,ML,1580226480,13,22.68,-3.98,303.59,5.32
80,upernavik,100,GL,1580226480,93,72.79,-56.15,248.18,2.09
81,saint-philippe,6,RE,1580226480,65,-21.36,55.77,298.15,3.1
82,tuktoyaktuk,40,CA,1580226230,74,69.45,-133.04,241.15,5.1
83,yar-sale,100,RU,1580226481,93,66.83,70.83,251.04,8.01
